Reference,Left,KWIC,Right
"PA331481,2017-07-12,Le Maire, Bruno",sur le soutien total du Gouvernement pour garantir et développer l'' emploi sur le site. Seize millions d'' euros ont,déjà été engagés,par les autorités publiques. Nous avons la perspective de voir arriver de nouvelles boîtes de vitesses à partir de 2019
"PA609726,2017-07-12,Aubert, Julien","doit rendre en 2018 – c'' est ce qu'' on appelle un gouvernement "" En même temps "" ! Enfin, le candidat Emmanuel Macron s",'' était engagé,"à augmenter de l'' équivalent de six réacteurs la production d'' énergie renouvelable, ce qui, en toute logique, veut"
"PA267585,2017-07-12,Vercamer, Francis","des groupes parlementaires, pourrait être associée à la rédaction des ordonnances. La procédure accélérée",ayant été engagée,et les discussions en cours entre le Gouvernement et les partenaires sociaux allant vraisemblablement influer sur le
"PA722202,2017-07-12,Jumel, Sébastien","par avance son retour sur investissement. Par exemple, si un salarié avec sept ans d'' ancienneté payé 2 500 euros",bruts est remplacé,"par un jeune salarié embauché à 2 000 euros, le coût pour l'' employeur correspondra à quatre mois de salaire, soit 10 000"
"PA335999,2017-07-12,Batho, Delphine","risque de favoriser, avec la barémisation, des procédures beaucoup plus complexes. Un certain nombre de procédures",pourraient être engagées,", pour préjudice moral notamment. Tout cela est juste. La parole est à M. Éric Coquerel , pour soutenir l'' amendement n°"
"PA720512,2017-07-12,Pietraszewski, Laurent","un emploi. Ces critères ne peuvent pas s'' appliquer pour tous de la même façon. Quant à la faute de l'' employeur,",elle est déjà sanctionnée,en tant que telle par la requalification du licenciement en licenciement sans cause réelle et sérieuse. Et lorsque la
"PA721418,2017-07-12,Mignola, Patrick","réelle et sérieuse et les licenciements économiques qui seraient mal prononcés soit sur le fond, donc susceptibles d",'' être sanctionnés,"en l'' état, soit pour des questions de forme. Puisque nous sommes mus par la recherche d'' un équilibre, il est important"
"PA588884,2017-07-12,Autain, Clémentine","ces derniers, déjà touchés dans leur chair par des maladies professionnelles, donc rendus inaptes par leur travail",", soient en plus sanctionnés",légalement par l'' insuffisance des obligations des employeurs en matière de reclassement. On peut penser que la
"PA720286,2017-07-12,Fiat, Caroline","ne soient que trois pour 180 résidents, voire deux si une collègue épuisée au dernier moment se retrouve en arrêt et n",'' est pas remplacée,"– je n'' apprends rien à notre collègue Audrey Dufeu Schubert , elle-même directrice d'' un établissement de santé. Trois"
"PA722142,2017-07-12,Ruffin, François","nombre de collègues ayant parié que je ne l'' aurais plus. Je souhaite répondre à M. Maillard , avec lequel un dialogue s",'' est engagé,". C '' est, je vous l'' assure, la dernière fois que vous m'' entendrez ce soir. Au total, 500 emplois seront supprimés dans un"
",2017-07-12,","cas où la compensation ne serait pas intégrale, le procédé pourrait être requalifié en prêt illicite de main-d''œuvre,",lequel est sanctionné,"pénalement. L'' enjeu est de permettre à de grandes entreprises d'' aider de plus jeunes à se développer, par le prêt de"
"PA607846,2017-07-13,Darmanin, Gérald",n'' est pas tout à fait prête. J '' ai souligné l'' énorme travail effectué par l'' administration fiscale : il,doit être respecté,". Tout à fait ! En effet, il y a eu une commande politique, passée par la plus haute fonction politique du pays, puisque c''"
"PA720512,2017-07-13,Pietraszewski, Laurent","investis et y sont particulièrement attachés. Toutefois, cette question dépasse le périmètre de la concertation",qui est engagée,avec les partenaires sociaux. Je rappellerai cependant un élément de droit : en cas de non-reprise de l'' établissement
"PA2150,2017-07-13,Mélenchon, Jean-Luc","poste de travail. Une autre fois, j'' attendrai l'' amendement suivant. Je tiens toutefois à souligner que la base sur",laquelle sont recrutés,aujourd''hui les médecins produit son effet désastreux. Voilà le résultat du numerus clausus : il n'' y a plus de médecins
"PA720512,2017-07-13,Pietraszewski, Laurent","l'' application de ce dispositif à des entreprises qui recrutent par grands nombres, mais on sait aussi que ce qui",importe est que la personne recrutée,"dispose des potentialités ou des compétences requises pour le poste. La question que vous soulevez est donc réelle,"
"PA720512,2017-07-13,Pietraszewski, Laurent","entreprises de proximité – U2P – qui nous a expliqué, lorsque nous l'' avons auditionné, que les professions libérales,",qui étaient autrefois représentées,"au sein de l'' Union nationale des professions libérales – UNAPL – le sont, depuis le mois de novembre 2016, au sein de l''"
",2017-07-13,","attentifs qu'' il y a des travailleurs détachés des deux côtés : il faut que les règles de mobilité, de protection et de",concurrence soient respectées,". J '' aurai l'' occasion d'' y revenir devant la représentation nationale, puisque nous allons encore y travailler et que"
"PA2150,2017-07-13,Mélenchon, Jean-Luc",. Je tiens également à dire à notre collègue de Mayotte qu'' il m'' a bien surpris ! Moi aussi ! Son intervention mérite d,'' être remarquée,", saluée et discutée. De manière constante et sans aucune ambiguïté, Mayotte a toujours manifesté son attachement à"
"PA2150,2017-07-13,Mélenchon, Jean-Luc",. Je tiens également à dire à notre collègue de Mayotte qu'' il m'' a bien surpris ! Moi aussi ! Son intervention mérite d,"'' être remarquée , saluée","et discutée. De manière constante et sans aucune ambiguïté, Mayotte a toujours manifesté son attachement à son"
"PA2150,2017-07-13,Mélenchon, Jean-Luc",. Je tiens également à dire à notre collègue de Mayotte qu'' il m'' a bien surpris ! Moi aussi ! Son intervention mérite d,"'' être remarquée , saluée et discutée",". De manière constante et sans aucune ambiguïté, Mayotte a toujours manifesté son attachement à son identité"
"PA267306,2017-07-13,Chassaigne, André","terrible des hypermarchés, lesquels ouvrent le dimanche sans respecter le droit. Ce serait une bonne chose que le",droit soit respecté,"! Un hypermarché peut ouvrir le dimanche à condition que plus de 50 % de sa surface, plus de 50 % de sa masse salariale et"
"PA722142,2017-07-13,Ruffin, François",sorte ! Prenez - le comme vous voulez ! Nous avons beaucoup parlé ; j'' ai même trouvé cette enceinte plaisante car je m'',y suis senti respecté,". Très bien ! Je le dis sans démagogie : les pupitres n'' ont pas claqué, ce n'' était pas le cirque, on pouvait s'' exprimer."
"PA722202,2017-07-13,Jumel, Sébastien",suivie depuis le début de l'' examen du texte : le groupe Les Républicains votera ce projet de loi d'' habilitation... C,'' est un sacré,"scoop ! ...malgré nos réticences sur les ordonnances, malgré ce calendrier qui piétine les droits du Parlement ,"
"PA267336,2017-07-18,Giraud, Joël","–, ainsi qu'' a une augmentation des reports de crédits, pour 928 millions d'' euros. Les normes de dépenses de l'' État ont",également été respectées,"pour les mêmes raisons, avec une sous-exécution de 400 millions d'' euros sur le périmètre de la norme en valeur, et de 3,6"
"PA2960,2017-07-18,Woerth, Éric","En réalité, la Cour des comptes indique que ces économies se sont limitées à près de 27 milliards : les engagements n'' ont",pas été respectés,". On ne peut pas continuer ainsi, notamment vis-à-vis de nos partenaires européens, qui attendent évidemment une"
"PA746,2017-07-18,Carrez, Gilles",sincérité à ses propres prévisions. On pourrait alors progresser dans la discussion. Si des réformes structurelles,ne sont pas enfin engagées,", menées à bien, le scénario de paupérisation de l'' État , qui touche au premier chef ses missions régaliennes, va se"
"PA746,2017-07-18,Carrez, Gilles",sincérité à ses propres prévisions. On pourrait alors progresser dans la discussion. Si des réformes structurelles,"ne sont pas enfin engagées , menées","à bien, le scénario de paupérisation de l'' État , qui touche au premier chef ses missions régaliennes, va se poursuivre."
"PA720002,2017-07-18,El Haïry, Sarah","3 % du PIB. Ce n'' est qu'' en assumant un sérieux budgétaire que nous parviendrons à réformer notre pays, comme nous nous",y sommes engagés,". Oui, c'' est notre engagement ! Aujourd''hui, ce n'' est pas l'' idéal, ce n'' est pas le plus confortable. Comme tous, j'' aime"
"PA609590,2017-07-18,Rabault, Valérie","budget 2016 conformément à celui que nous avions voté en décembre 2015 ? En d'' autres termes, les choix du Parlement ont -",ils été respectés,"? Pour répondre à cette question, je choisirai quatre indicateurs. Le premier est le déficit public pour 2016, c''"
"PA721202,2017-07-18,Coquerel, Éric","analyses et remet en cause les calculs de la direction du Trésor , qui proclame un résultat pourtant bien médiocre au vu",des sommes engagées,". Aucun effet, par conséquent, sur la compétitivité, l'' investissement, la recherche et le développement, la balance"
"PA721542,2017-07-18,Verdier-Jouclas, Marie-Christine","formations supplémentaires "" dans le cadre du plan d'' urgence. À la fin du mois de novembre 2016, plus de 945 000 actions",avaient été engagées,"ou réalisées, sans pour autant que la situation se soit améliorée. Dès aujourd''hui, avec exigence et dans l'' esprit du"
"PA721542,2017-07-18,Verdier-Jouclas, Marie-Christine","formations supplémentaires "" dans le cadre du plan d'' urgence. À la fin du mois de novembre 2016, plus de 945 000 actions",avaient été engagées ou réalisées,", sans pour autant que la situation se soit améliorée. Dès aujourd''hui, avec exigence et dans l'' esprit du programme"
