Reference,Left,KWIC,Right
"PA721062,2017-07-10,Ratenon, Jean-Hugues","l'' amendement n° 123. À mon sens, il faut répéter, répéter ... Arrivera peut-être le moment où nos explications",seront comprises,. L'' article 1er vise à habiliter le Gouvernement à réécrire la totalité des dispositions du code du travail pour
"PA718720,2017-07-10,Dufrègne, Jean-Paul","de négocier sous certaines conditions. Certes, dans les entreprises de moins de cinquante salariés, ils doivent",être élus,"et mandatés par une organisation syndicale représentative dans la branche, et, s'' ils n'' ont pas été mandatés, ils ne"
"PA718720,2017-07-10,Dufrègne, Jean-Paul","de négocier sous certaines conditions. Certes, dans les entreprises de moins de cinquante salariés, ils doivent",être élus et mandatés,"par une organisation syndicale représentative dans la branche, et, s'' ils n'' ont pas été mandatés, ils ne peuvent"
"PA609726,2017-07-11,Aubert, Julien",des salariés aux élections syndicales. Si l'' on a pu dire tout à l'' heure que le Président de la République avait,été élu,"par 18 % des électeurs, selon le même raisonnement, quand la CGT ou FO fait 50 % des voix, leur majorité ou leur"
"PA609590,2017-07-11,Rabault, Valérie",". La parole est à Mme Valérie Rabault , pour soutenir l'' amendement n° 428. Au cours de nos débats, Mme la ministre s''",est engagée,"plusieurs fois en disant que la hiérarchie des normes serait respectée. Avec cet amendement, nous souhaiterions"
"PA267306,2017-07-11,Chassaigne, André","à la protection des salariés et si, dans la circonscription que vous représentez, sur le territoire où vous avez",été élu,", un site industriel ferme parce que les actionnaires veulent augmenter le profit en délocalisant, vous serez tous"
"PA720298,2017-07-11,Cariou, Émilie",nous sommes bien sûr parfaitement déterminés à rendre plus efficace la politique de notre pays en la matière. La France,est engagée,"dans un certain nombre de chantiers internationaux, dans le cadre de l'' OCDE et du G20 , mais aussi en partenariat avec"
"PA720546,2017-07-11,Bruneel, Alain","des salariés, de la frustration car ils ne sont pas en mesure de savoir comment les sommes ont été utilisées : ont -elles",été engagées,"pour l'' investissement, pour le recrutement, pour des hausses de salaire ou bien encore pour opérer des licenciements"
"PA720512,2017-07-11,Pietraszewski, Laurent","est l'' avis de la commission sur ces deux amendements ? Notre préférence va à la rédaction de l'' amendement n° 449, qui a",été accepté,par la commission et reçoit donc un avis favorable. Nous repoussons en revanche l'' amendement n° 277 rectifié. Quel est
"PA722110,2017-07-11,Wulfranc, Hubert","du personnel. Cet amendement vient donc clarifier le champ de l'' ordonnance, grâce à une procédure simple, claire, qui",sera comprise,"par toutes les parties prenantes, et qui créera les conditions d'' une confiance mutuelle et d'' un dialogue social de"
"PA720692,2017-07-11,Roussel, Fabien","avec courage et conviction. Sept ans après, les dirigeants français qui ont participé à cette vile opération ont",été condamnés,"à des peines de prison ferme. Mais ces femmes n'' ont jamais réussi à faire valoir leurs droits, à retrouver leur emploi ni"
"PA720512,2017-07-11,Pietraszewski, Laurent","considéré comme du temps de travail effectif et payé comme tel, pour préparer chaque réunion, la durée de ce temps",étant comprise,entre quinze heures et la moitié de la durée légale du travail mensuel. Aux termes de l'' article L. 2411-1 du code du
"PA720512,2017-07-11,Pietraszewski, Laurent",à étendre la place des représentants des salariés dans le conseil d'' administration des sociétés dont les actions,sont admises,"aux négociations sur un marché réglementé, a été repoussé par la commission. Je voudrais rappeler – nous l'' avons"
"PA713448,2017-07-12,Brenier, Marine","d'' un camion. À cause de sa folie meurtrière, quatre-vingt-six personnes ont perdu la vie, quatre cents autres ont",été blessées,"et un nombre incalculable sont traumatisées à vie. Ils étaient des femmes, des hommes, des enfants. Ils voulaient"
"PA345619,2017-07-12,Philippe, Édouard","vécu de près ou de loin cet événement, ceux qui étaient sur place, les familles des victimes, ceux dont des proches ont",été blessés,", ceux qui ont survécu sans rien oublier de cette nuit de cauchemar, ceux qui, par leur courage ou par leur bienveillance"
"PA331481,2017-07-12,Le Maire, Bruno",sur le soutien total du Gouvernement pour garantir et développer l'' emploi sur le site. Seize millions d'' euros ont déjà,été engagés,par les autorités publiques. Nous avons la perspective de voir arriver de nouvelles boîtes de vitesses à partir de 2019
"PA609726,2017-07-12,Aubert, Julien","doit rendre en 2018 – c'' est ce qu'' on appelle un gouvernement "" En même temps "" ! Enfin, le candidat Emmanuel Macron s''",était engagé,"à augmenter de l'' équivalent de six réacteurs la production d'' énergie renouvelable, ce qui, en toute logique, veut"
"PA267585,2017-07-12,Vercamer, Francis","des groupes parlementaires, pourrait être associée à la rédaction des ordonnances. La procédure accélérée ayant",été engagée,et les discussions en cours entre le Gouvernement et les partenaires sociaux allant vraisemblablement influer sur le
"PA721210,2017-07-12,Corbière, Alexis",touchons là à une question de fond : acceptez - vous que votre droit de législateur vous soit retiré ? Acceptez - vous d'',être dépossédés,"de votre droit à la discussion et à l'' examen détaillé ? N '' y a -t - il pas là un grand danger ? Vous sentez -vous à l'' aise, en"
"PA267785,2017-07-12,Larrivé, Guillaume","entreprises qui ont dû mettre la clé sous la porte parce que le chef d'' entreprise, de bonne foi, a fait une erreur et a",été condamné,"par les prud''hommes à payer une indemnité disproportionnée. Donnez - nous la liste ! Voilà la vérité ! La vérité, c'' est"
",2017-07-12,","avait été supprimé, expliquant simplement qu'' il recourait au licenciement parce qu'' il avait perdu un marché. Et il a",été condamné,! En toute conformité juridique d'' ailleurs : les juges ont agi en toute observation du droit en vigueur. Cette
"PA267306,2017-07-12,Chassaigne, André","de conquêtes sociales. Ce qu'' il disait aussi, c'' est que le patronat ne lâche jamais, qu'' il veut détruire ce qui a",été arraché,"au fil des décennies. C '' est donc l'' intérêt de vos enfants, de vos familles, que de maintenir ces protections ! La parole"
"PA720512,2017-07-12,Pietraszewski, Laurent","pas les arguments que j'' ai développés en commission, sauf pour rappeler que les peines auxquelles nous pouvons",être condamnés,"en droit pénal si nous commettons un délit, nous tous simples citoyens, sont plafonnées. Ce n'' est peut-être pas"
"PA267585,2017-07-12,Vercamer, Francis",souhaitent plafonner ou en tout cas avoir une meilleure visibilité des dommages et intérêts auxquels ils pourraient,être condamnés,"en cas de litige avec un salarié, en particulier de licenciement dit abusif. Je le comprends, et c'' est pourquoi nous ne"
"PA335999,2017-07-12,Batho, Delphine",", avec la barémisation, des procédures beaucoup plus complexes. Un certain nombre de procédures pourraient",être engagées,", pour préjudice moral notamment. Tout cela est juste. La parole est à M. Éric Coquerel , pour soutenir l'' amendement n°"
"PA717379,2017-07-12,Maillard, Sylvain","pragmatiques. Dans une procédure de licenciement, l'' intérêt du chef d'' entreprise est de négocier. En effet, s'' il",est condamné,"par le conseil des prud''hommes, il devra payer les charges patronales correspondantes, soit un renchérissement d'' en"
"PA719578,2017-07-12,Prud''homme, Loïc","alinéa, le périmètre sera encore modifié. Aujourd''hui , les difficultés économiques d'' une entreprise qui licencie",sont appréciées,"au niveau du groupe, à l'' échelle internationale. Avec ce projet de loi, elles s'' apprécieraient sur le seul territoire"
"PA606712,2017-07-12,Lurton, Gilles","de la cause économique "", les mots : "" géographique et le secteur d'' activité dans lesquels la cause économique",est appréciée,""". Très bien ! Vous ouvrez la porte à toutes les dérives. Quel est l'' avis de la commission ? Monsieur Lurton , si la"
",2017-07-12,","les salariés aspirent à sortir de la précarité et à signer des CDI. Les CDI de chantier sont bien, en ce sens, des CDI : ils",sont accompagnés,d'' un droit à la formation beaucoup plus important ; le montant des indemnités de licenciement augmente avec l''
"PA722142,2017-07-12,Ruffin, François","nombre de collègues ayant parié que je ne l'' aurais plus. Je souhaite répondre à M. Maillard , avec lequel un dialogue s''",est engagé,". C '' est, je vous l'' assure, la dernière fois que vous m'' entendrez ce soir. Au total, 500 emplois seront supprimés dans un"
"PA720512,2017-07-12,Pietraszewski, Laurent",cas où le travail de nuit relève d'' une organisation collective du travail ne pose pas de difficulté. Cet amendement a,été accepté,"par la commission et, à titre personnel, j'' y suis moi aussi favorable. Ah bon ? Je suis saisi de deux amendements"
