"corpus","preloaded/ske_parlamint21_fr"
"subcorpus","-"
"concordance size","1193"
"query","Query:[lemma=""se""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""je""] []{0,3} [lemma=""me""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""tu""] []{0,3} [lemma=""te""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""vous""] [tag!=""Fc""]{0,3} [lemma=""vous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""] | [lemma=""nous""] [tag!=""Fc""]{0,3} [lemma=""nous""] [lemma=""faire""] []{0,3} [tag=""V.N.*""]"
"Reference","Left","KWIC","Right"
"PA722142,2017-09-28",". Le héros, Yuri Orlov , y donne cette leçon : "" La première et plus importante règle du trafic d'' armes est de ne jamais","se faire tirer","dessus avec sa propre marchandise. "" C'' est toute la question posée. Entre 2012 et 2016, il y a eu pour 7 milliards d'' euros"
"PA721226,2017-10-04","faut encore ajouter les conséquences de la loi relative aux libertés et responsabilités des universités – la LRU – qui","se font sentir","à Orléans ou à Limoges , où l'' université est en déficit chronique et va devoir réaliser 2 millions d'' euros d'' économies."
"PA720684,2017-10-04","question ! La parole est à M. Pierre-Henri Dumont , pour soutenir l'' amendement n° 100. J '' ai constaté tout à l'' heure que","je me faisais applaudir","lorsque j'' annonçais le retrait de mes amendements. Je ne vais pas vous faire plaisir, mon cher collègue. Cela ne marche"
"PA345722,2017-10-10","de souligner que je suis de ceux qui se réjouissent que la France soit à nouveau à l'' initiative, qu'' elle soit capable de","se faire entendre","sur la scène européenne, qu'' elle formule des propositions et promeuve des idées. J '' ai assez déploré, tout au long du"
"PA345722,2017-10-10","des idées et des projets précis, pour ne pas reconnaître ce retour de la France en Europe et la capacité de nos autorités à","se faire entendre",". Tout au plus aurais - je envie de rappeler que l'' Europe n'' est pas, selon la formule consacrée, "" la France en grand "". Une"
"PA720154,2017-10-10",". C '' est par ce rôle utile qu'' elle joue au sein des institutions que l'' opposition est légitime, bien plus qu'' en","se faisant entendre","par la rue. La résolution dont nous débattons n'' est qu'' une étape supplémentaire en vue de garantir le respect et la"
"PA334149,2017-10-17","Président de la République nous a expliqué lors de son entretien télévisé qu'' il fallait utiliser des mots directs pour","se faire comprendre",". Je vais donc, à mon tour, utiliser un mot direct : népotisme. Le népotisme consiste à accorder des droits particuliers"
"PA720430,2017-10-17","des cafards la nuit – dans 9 mètres carrés, ils deviennent véritablement vos colocataires –, la manière de ne pas","se faire piquer","par les punaises de lit qui se trouvent dans les couvertures fournies par le CROUS , la manière d'' esquiver les rats, la"
"PA606212,2017-10-18","d'' entreprise ? On est en train de faire passer des personnages de Zola pour des anges de la finance. On se moque de","nous. On veut nous faire croire","que tous ces braves gens qui vont revenir – Omar Sy , Renaud , Yannick Noah , Florent Pagny , Emmanuelle Béart –, tous ces"
"PA607846,2017-10-18","constructive et totalement honnête – ce dont je le remercie. Sur les OPEX , il a toujours été dit que la budgétisation","se ferait par paliers pour rattraper","la différence – qui, vous l'' avez dit, s'' élève à plus d'' un milliard. La sous-budgétisation chronique des opérations"
"PA721202,2017-10-18","avec l'' aide des parlementaires, a fait revenir par la fenêtre sous le nom de traité de Lisbonne , avant que M. Hollande ne","se fasse élire","en affirmant qu'' il ne signerait pas le TSCG en l'' état. Or ces traités successifs contiennent le traité de Maastricht"
"PA605036,2017-10-19",", s'' il est important de libérer la fiscalité sur le capital, il convient également d'' entendre les interrogations qui","se font entendre",", notamment sur l'' exclusion des revenus immobiliers et fonciers du bénéfice de cette mesure, qui constitue une vraie"
"PA719850,2017-10-19",", parce que ce sera la seule façon de nous faire entendre et de nous faire comprendre. Monsieur Faure , je ne pense pas que","vous vous ferez entendre","en demandant des suspensions de séance. Je vous laisse juge de cette question. Pour le reste, je vous l'' ai dit, vous"
"PA719592,2017-10-21","organismes aussi jeunes. Le développement de nouvelles thérapies plus efficaces et plus adaptées aux enfants ne peut","se faire sans favoriser","l'' émergence et le développement de programmes de recherche fondamentale. Les chercheurs peinent aujourd''hui à"
"PA335612,2017-10-24","de notre peuple, la puissance et la grandeur de notre Europe ? Bravo camarade ! Un communiste de plus ! Encore un qui va","se faire exclure","! La parole est à Mme la ministre du travail. Monsieur le député, je me concentrerai sur le travail détaché, puisque c''"
"PA607846,2017-10-24","de ne rien changer ! Ce n'' est pas ce qu'' on dit ! Il faut réformer, mais pas comme ça ! Pourtant, il n'' y a pas si longtemps,","vous vous faisiez applaudir","à bon compte sur ce sujet dans les réunions publiques. Vous y étiez, vous ? Ne faites pas référence à la campagne passée !"
"PA720286,2017-10-24",", mais son mari étant en fin de droits, elle ne peut pas arrêter de travailler et donc perdre la moitié de son salaire pour","se faire soigner",". Elle recule donc l'' échéance des soins, jusqu'' à ce qu'' enfin elle commence les traitements, mais il est trop tard. Eh"
"PA722086,2017-10-24","tous. C '' est vrai pour l'' apprentissage scolaire, c'' est vrai pour l'' accès à un droit aussi élémentaire que le droit de","se faire soigner",". Agir là où les inégalités se créent, c'' est favoriser le dédoublement de classes dans les établissements scolaires"
"PA722086,2017-10-24","tous. C '' est vrai pour l'' apprentissage scolaire, c'' est vrai pour l'' accès à un droit aussi élémentaire que le droit de","se faire soigner. Agir","là où les inégalités se créent, c'' est favoriser le dédoublement de classes dans les établissements scolaires"
"PA720046,2017-10-24",", d'' abord. La liberté de choisir ! Les débats à venir dans cet hémicycle évoqueront certainement la liberté de ne pas","se faire vacciner",". Nous disposons tous en effet, chers collègues, de la liberté de choisir de nous faire vacciner ou non. Permettez - moi"
"PA720046,2017-10-24",". La vaccination est l'' un des premiers piliers de l'' égalité de la prévention. À ceux qui n'' ont pas la chance de pouvoir","se faire vacciner",", ainsi qu'' aux plus fragiles, dont le système immunitaire est amoindri et pour lesquels un foyer infectieux ou viral"
"PA609726,2017-10-24","rien ! Il existe aujourd''hui un guichet unique, celui du régime social des indépendants, où les intéressés peuvent","se faire expliquer","tout ce qui touche aux retraites, à l'' assurance maladie ou à d'' autres branches. L'' intégration au régime général"
"PA331582,2017-10-26","amis résidant à l'' étranger, qui sont obligés de souscrire, dans leur pays de résidence, des assurances sociales pour","se faire soigner",", pardonnez-moi de le rappeler. Enfin, madame la ministre, ce que vous dites de la CSG est vrai : elle participe à la"
"PA720286,2017-10-26","ou non. Le "" top du top "" sera désormais de payer son salarié au SMIC, puisque c'' est à ce niveau que la baisse de cotisations","se fera le plus ressentir",". Vous auriez pu au moins conditionner cette baisse de cotisations à des embauches supplémentaires. Cette absence"
"PA721210,2017-10-26","que, quand notre collègue François Ruffin prend la parole, quoi qu'' il dise, des pupitres claquent et des réflexions","se font entendre",". Tout cela est assez inconvenant. Il y a là une forme de délit de faciès, sans doute parce que le député Ruffin pointe du"
"PA642788,2017-10-26","ambitieux en faveur de l'' accès aux soins dans l'' ensemble des territoires. Lorsque l'' on souffre d'' une facture, il faut","se faire opérer",", dites-vous. C '' est vrai, mais encore faut - il le bon traitement. Par exemple, on n'' opère pas quelqu''un qui a la grippe"
"PA719326,2017-10-26","Gipson . Le RSI est un échec. Nous ne pouvons pas laisser des artisans, des commerçants, des entrepreneurs individuels","se faire étrangler","financièrement par le RSI et se faire poursuivre par les huissiers sans aucune voie de recours. La création du RSI a été"
"PA719326,2017-10-26","des artisans, des commerçants, des entrepreneurs individuels se faire étrangler financièrement par le RSI et","se faire poursuivre","par les huissiers sans aucune voie de recours. La création du RSI a été suivie d'' une mise en œuvre chaotique, qui a"
"PA2529,2017-10-26",". C '' est une usine à gaz ! Absolument ! Quel est l'' avis du Gouvernement ? Défavorable. Dommage ! C '' est dur de","se faire entendre","! C '' est du caporalisme ! Je suis saisi de deux amendements, n° 998 et 999, qui peuvent faire l'' objet d'' une présentation"
"PA642847,2017-10-26","les sommes dues. Je vous invite donc à retirer l'' amendement. La parole est à M. Thibault Bazin . Après votre confession,","je me ferai fort de porter","la bonne parole à M. Aubert . Je retire donc l'' amendement. La parole est à Mme Marie-Noëlle Battistel , pour soutenir l''"
"PA717153,2017-10-27","de consommation sur les tabacs qui sont affectés à ce régime, soit un apport de 22 millions d'' euros. Je précise que cela","se fera sans modifier","le calcul des pensions versées par ce régime, et donc sans incidences pour ses assurés. La parole est à Mme la ministre ,"
"PA717153,2017-10-27","le circuit de remboursement à la CNAMTS des soins de santé dispensés en France est maintenant bien éprouvé, la France ne","se fait pas rembourser","les dépenses d'' APA, car le circuit est plus complexe, faisant intervenir les conseils départementaux. Cet"
"PA642788,2017-10-27","quelqu''un puisse l'' imaginer ici. Une personne prête à quitter son pays, à abandonner sa famille, à faire le djihad, à","se faire exploser","en faisant le maximum de dégâts n'' a pas de scrupule à l'' idée que les allocations puissent être retirées à sa famille une"
"PA606712,2017-10-27","serait versée après la naissance de l'' enfant. Tout le monde sait que c'' est avant la naissance que les besoins en argent","se font le plus sentir",", quand il faut préparer l'' arrivée de l'' enfant. La décision de reporter le versement après la naissance, lorsque l''"
"PA642788,2017-10-27",", qu'' il n'' y a pas de continuité entre le médical et le médico-social. Nous sommes dans un pays où, selon la région où","vous vous faites opérer",", vous avez entre 18 % et 82 % de risques d'' aller en rééducation après la pose d'' une prothèse de hanche, alors que les"
"PA642788,2017-10-27","que des patients m'' appelleront le lundi matin, pendant mes consultations, pour me demander où leur grand-mère doit","se faire opérer","de la hanche ou surtout dans quel établissement il ne faut pas qu'' elle aille, c'' est qu'' on aura des problèmes d''"
"PA720422,2017-10-27","ce qui concerne les prothèses dentaires. Avec cet article, les Français qui ne renoncent pas aux soins ou ne partent pas","se faire soigner","à l'' étranger continueront durant une année de plus à payer en moyenne 23 % de leurs frais dentaires au titre du reste à"
"PA720422,2017-10-27",", sans compter des honoraires parfois très élevés. La baisse des frais, prévue sous la précédente législature, qui","se fera ensuite ressentir","permettra, en 2020, de réduire les restes à charge de manière significative. Pour autant, cette baisse ne signifie pas"
"PA720988,2017-10-31","le non-renouvellement des moyens matériels et par un déficit en constante augmentation. Je ne vous le cacherai pas :","se faire soigner","devient un défi quotidien pour les Martiniquaises et les Martiniquais . Je prendrai pour exemple l'' hôpital Louis"
"PA721418,2017-10-31",". Nous souhaiterions avoir cette petite précision, madame, pour vous aider à faire le job. Si vous coopérez trop,","vous allez vous faire exclure","! La parole est à M. le rapporteur spécial. Comme mon collègue, je pourrais retirer mon amendement si votre engagement"
"PA720100,2017-11-03","le dernier vestige d'' un service public, quand ce ne sont pas les forces de police venues de l'' extérieur, ... Et qui","se font agresser","! ...parce que l'' on a fait disparaître les commissariats de proximité, lesquels, si j'' ai bien compris, ne vont pas"
"PA722398,2017-11-03",", notamment pour des raisons numériques, s'' adressent de moins en moins aux services des mairies, ne serait -ce que pour","se faire connaître",", se présenter ou tout simplement échanger. À partir de 2018, les préfets devront également conduire le dialogue de"
"PA722398,2017-11-03",", notamment pour des raisons numériques, s'' adressent de moins en moins aux services des mairies, ne serait -ce que pour","se faire connaître, se présenter","ou tout simplement échanger. À partir de 2018, les préfets devront également conduire le dialogue de gestion avec les"
"PA405480,2017-11-06","en 2017 et 5 en 2018. J '' ai du mal à croire que la moitié des entreprises vont se précipiter d'' ici le 31 décembre pour","se faire rembourser","5 milliards tandis que l'' autre moitié va attendre un an. Ce choix est discutable. Il me semblerait préférable, à la"
